,carrier,p_nom,year_removed,retrofit,bus
DE0 11 ror,ror,0.37,2057,1957.0,DE0 11
DE0 21 ror,ror,0.8800000000000001,2057,1957.0,DE0 21
DE0 22 ror,ror,0.05,2057,1957.0,DE0 22
DE0 21 ror,ror,0.15,2057,1957.0,DE0 21
DE0 21 ror,ror,0.09,2057,1957.0,DE0 21
DE0 12 ror,ror,0.075,2057,1957.0,DE0 12
DE0 73 ror,ror,0.97,2057,1957.0,DE0 73
DE0 80 ror,ror,0.145,2057,1957.0,DE0 80
DE0 11 ror,ror,0.075,2057,1957.0,DE0 11
DE0 D4 ror,ror,0.617,2057,1957.0,DE0 D4
DE0 D4 ror,ror,0.155,2057,1957.0,DE0 D4
DE0 22 ror,ror,0.1,2057,1957.0,DE0 22
DE0 D4 ror,ror,0.25,2057,1957.0,DE0 D4
DE0 E0 ror,ror,0.34,2057,1957.0,DE0 E0
DE0 24 ror,ror,0.037,2057,1957.0,DE0 24
DE0 23 ror,ror,0.08,2057,1957.0,DE0 23
DE0 22 ror,ror,0.055,2057,1957.0,DE0 22
DE0 60 ror,ror,0.11,2057,1957.0,DE0 60
DE0 14 ror,ror,0.145,2057,1957.0,DE0 14
DE0 D4 ror,ror,0.6,2057,1957.0,DE0 D4
DE0 24 ror,ror,0.15,2057,1957.0,DE0 24
DE0 13 ror,ror,0.08,2057,1957.0,DE0 13
DE0 23 ror,ror,0.3,2057,1957.0,DE0 23
DE0 14 ror,ror,0.045,2057,1957.0,DE0 14
DE0 D4 ror,ror,0.22,2057,1957.0,DE0 D4
DE0 11 ror,ror,0.23,2057,1957.0,DE0 11
DE0 26 ror,ror,0.037,2057,1957.0,DE0 26
DE0 23 ror,ror,0.11,2057,1957.0,DE0 23
DE0 24 ror,ror,0.085,2057,1957.0,DE0 24
DE0 D5 ror,ror,1.4,2057,1957.0,DE0 D5
DE0 22 ror,ror,0.136,2057,1957.0,DE0 22
DE0 23 ror,ror,0.04,2057,1957.0,DE0 23
DE0 E0 ror,ror,0.055,2057,1957.0,DE0 E0
DE0 D4 ror,ror,0.6625,2057,1957.0,DE0 D4
DE0 21 ror,ror,0.35,2057,1957.0,DE0 21
DE0 A2 ror,ror,0.314,2057,1957.0,DE0 A2
DE0 23 ror,ror,0.092,2057,1957.0,DE0 23
DE0 D5 ror,ror,0.45,2057,1957.0,DE0 D5
DE0 23 ror,ror,0.054,2057,1957.0,DE0 23
DE0 22 ror,ror,0.055,2057,1957.0,DE0 22
DE0 91 ror,ror,0.15,2057,1957.0,DE0 91
DE0 26 ror,ror,0.96,2057,1957.0,DE0 26
DE0 24 ror,ror,0.032,2057,1957.0,DE0 24
DE0 24 ror,ror,0.055,2057,1957.0,DE0 24
DE0 12 ror,ror,0.135,2057,1957.0,DE0 12
DE0 14 ror,ror,0.075,2057,1957.0,DE0 14
DE0 D4 ror,ror,2.55,2057,1957.0,DE0 D4
