id,name,carrier,technology,component,country,p_nom,max_hours,volume_mm3,damheight_m,yearcommissioned,retrofit,lat,lon,projectid,yeardecommissioning,bus
1546,Wintrich,hydro,Run-Of-River,Store,DE,20.0,0.0,0.0,0.0,1965,1965.0,49.879784,6.9487619999999914,"{'JRC': ['H1388'], 'OPSD': ['BNA1066'], 'CARMA': ['CARMA49874']}",2065,4611
1555,Unteropfingen,hydro,Run-Of-River,Store,DE,14.2,0.0,0.0,0.0,1924,1924.0,48.0612649,10.1284379,"{'JRC': ['H1570'], 'OPSD': ['BNA1175'], 'CARMA': ['CARMA47167']}",2024,3494
1561,Tannheim,hydro,Run-Of-River,Store,DE,12.3,0.0,0.0,0.0,1920,1920.0,48.00795,10.118537,"{'JRC': ['H1651'], 'OPSD': ['BNA1265'], 'CARMA': ['CARMA44546']}",2020,3494
1572,Straubing,hydro,Run-Of-River,Store,DE,21.5,0.0,0.0,0.0,1994,1994.0,48.89659,12.55752,"{'JRC': ['H1347'], 'OPSD': ['BNA0929'], 'CARMA': ['CARMA43420']}",2094,3324
1580,Wasserburg,hydro,Run-Of-River,Store,DE,24.1,0.0,0.0,0.0,1938,1938.0,48.05699,12.22074,"{'JRC': ['H1282'], 'OPSD': ['BNA1013'], 'CARMA': ['CARMA63844', 'CARMA48996']}",2038,3304
1581,Teufelsbruck,hydro,Run-Of-River,Store,DE,25.0,0.0,0.0,0.0,1938,1938.0,48.057359999999896,12.22093,"{'JRC': ['H1254'], 'OPSD': ['BNA0912'], 'CARMA': ['CARMA45135']}",2038,3304
1585,Trier,hydro,Run-Of-River,Store,DE,18.8,0.0,0.0,0.0,1962,1962.0,49.728029,6.624451,"{'JRC': ['H1435'], 'OPSD': ['BNA1269'], 'CARMA': ['CARMA46290']}",2062,4787
1590,Töging,hydro,Run-Of-River,Store,DE,85.3,0.0,0.0,0.0,1924,1924.0,48.2518176,12.5873078,"{'JRC': ['H588'], 'OPSD': ['BNA0950'], 'CARMA': ['CARMA45650']}",2024,3318
1617,Leitzach,hydro,Run-Of-River,Store,DE,92.0,0.0,0.0,0.0,1960,1983.0,47.873938,11.8709899999999,"{'JRC': ['H552'], 'OPSD': ['BNA0972', 'BNA0973'], 'CARMA': ['CARMA24891']}",2083,3304
1618,Lehmen,hydro,Run-Of-River,Store,DE,20.0,0.0,0.0,0.0,1962,1962.0,50.274724,7.458957000000002,"{'JRC': ['H1386'], 'OPSD': ['BNA0715'], 'CARMA': ['CARMA24862']}",2062,4612
1648,Psw langenprozelten,hydro,Pumped Storage,Store,DE,164.0,6.036585365853658,1.5,297.0,1974,1974.0,50.053129999999896,9.58137,"{'JRC': ['H295'], 'OPSD': ['BNA0337'], 'CARMA': ['CARMA24406']}",2074,4597
1656,Kachlet,hydro,Run-Of-River,Store,DE,53.7,0.0,0.0,0.0,1927,1927.0,48.57971120000001,13.408273800000002,"{'JRC': ['H806'], 'OPSD': ['BNA0782'], 'CARMA': ['CARMA20722']}",2027,3320
1660,Jochenstein,hydro,Run-Of-River,Store,DE,132.059,0.0,0.0,0.0,1955,1955.0,48.517445,13.7181195,"{'JRC': ['H2491', 'H3134'], 'OPSD': ['BNA0364'], 'CARMA': ['CARMA20445']}",2055,3320
1669,Ingolstadt,hydro,Run-Of-River,Store,DE,19.8,0.0,0.0,0.0,1971,1971.0,48.750316999999896,11.412153,"{'JRC': ['H1410'], 'OPSD': ['BNA1160'], 'CARMA': ['CARMA19390', 'CARMA19392']}",2071,3305
1673,Landau,hydro,Run-Of-River,Store,DE,12.6,0.0,0.0,0.0,1984,1984.0,48.667862,12.660027,"{'JRC': ['H1643'], 'OPSD': ['BNA1228'], 'CARMA': ['CARMA24343']}",2084,3324
1686,Koblenz,hydro,Run-Of-River,Store,DE,16.0,0.0,0.0,0.0,1951,1951.0,50.3658549999999,7.58171,"{'JRC': ['H1507'], 'OPSD': ['BNA1181'], 'CARMA': ['CARMA22560']}",2051,4614
1693,Kaufering,hydro,Run-Of-River,Store,DE,16.7,0.0,0.0,0.0,1975,1975.0,48.084026,10.864936,"{'JRC': ['H1483'], 'OPSD': ['BNA1169'], 'CARMA': ['CARMA21516']}",2075,3499
1695,Meitingen,hydro,Run-Of-River,Store,DE,11.3,0.0,0.0,0.0,1922,1922.0,48.546994,10.86507,"{'JRC': ['H1696'], 'OPSD': ['BNA1209'], 'CARMA': ['CARMA27927']}",2022,3502
1699,Perach,hydro,Run-Of-River,Store,DE,19.4,0.0,0.0,0.0,1977,1977.0,48.0261021,12.789632,"{'JRC': ['H1413'], 'OPSD': ['BNA0792'], 'CARMA': ['CARMA34193']}",2077,3318
1705,Passau ingling,hydro,Run-Of-River,Store,DE,86.4,0.0,0.0,0.0,1965,1965.0,48.55369,13.4356937,"{'JRC': ['H3282'], 'OPSD': ['BNA0784'], 'CARMA': ['CARMA33805']}",2065,3320
1722,Prittriching,hydro,Run-Of-River,Store,DE,12.1,0.0,0.0,0.0,1984,1984.0,48.21062,10.904933,"{'JRC': ['H1655'], 'OPSD': ['BNA1234'], 'CARMA': ['CARMA35811']}",2084,3499
1723,Prem,hydro,Run-Of-River,Store,DE,19.2,0.0,0.0,0.0,1971,1971.0,47.692726,10.797592,"{'JRC': ['H1415'], 'OPSD': ['BNA1192'], 'CARMA': ['CARMA35712']}",2071,3323
1737,Pielweichs,hydro,Run-Of-River,Store,DE,12.6,0.0,0.0,0.0,1994,1994.0,49.79434000000001,10.1813,"{'JRC': ['H1644'], 'OPSD': ['BNA1230'], 'CARMA': ['CARMA34566']}",2094,4777
1739,Pfrombach,hydro,Run-Of-River,Store,DE,22.3,0.0,0.0,0.0,1929,1929.0,48.44132000000001,11.99233,"{'JRC': ['H1329'], 'OPSD': ['BNA1213'], 'CARMA': ['CARMA34412']}",2029,3315
