,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 A ror,ror,0.132,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.746,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.048,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.035,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.078,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.056,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.08,DE0 1,1957,1957.0,2057
DE0 4 ror,ror,0.215,DE0 4,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.13,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.16,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.21,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.11,DE0 7,1957,1957.0,2057
DE0 2 ror,ror,0.15,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.15,DE0 A,1957,1957.0,2057
DE0 G ror,ror,0.05,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.22,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.066,DE0 2,1957,1957.0,2057
DE0 A ror,ror,1.5,DE0 A,1957,1957.0,2057
DE0 8 ror,ror,0.16,DE0 8,1957,1957.0,2057
DE0 D ror,ror,0.468,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.033,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.095,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.115,DE0 7,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.98,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0485,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.15,DE0 B,1957,1957.0,2057
DE0 9 ror,ror,0.085,DE0 9,1957,1957.0,2057
DE0 D ror,ror,0.585,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.1669999999999999,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.25,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.29,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.038,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.036,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.075,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.067,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.12,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.035,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.475,DE0 1,1957,1957.0,2057
DE0 9 ror,ror,0.3,DE0 9,1957,1957.0,2057
DE0 G ror,ror,0.29,DE0 G,1957,1957.0,2057
